Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,1.4539,1.4873,-0.3992,38,21.07,4.54
1,1.1893,1.6596,-0.3685,38,21.07,4.54
1,-0.4914,1.1824,-0.2023,45,21.07,4.54
1,1.7747,1.7645,-2.3021,45,13.636,4.54
1,1.0864,1.4372,1.4941,142,13.636,4.54
1,2.1901,1.4372,1.4941,142,13.636,4.54
1,1.4132,1.4143,-0.5561,216,13.039,4.54
1,2.5588,1.5789,-1.0378,216,13.039,4.54
1,1.4348,1.4128,0.4834,287,13.039,4.54
1,1.0098,1.2109,-0.0161,287,13.039,4.54
1,1.0589,1.2341,0.1951,327,13.014,4.54
1,1.9579,1.2341,0.1951,327,13.014,4.54
1,1.4323,1.568,0.0344,332,13.014,4.54
1,2.8629,1.6881,0.1423,332,12.061,4.54
1,-0.9547,1.2911,0.3451,280,12.061,4.54
1,1.3486,1.4301,-0.1755,280,12.061,4.54
1,2.724,1.2956,0.2251,141,12.4,4.5
1,2.9551,1.8173,-0.0901,141,12.4,4.5
1,2.3769,1.8173,-0.0901,59,12.4,4.5
1,2.5504,2.4726,-0.1302,59,11.71,4.5
1,2.5684,3.2625,-0.32,55,11.71,4.5
1,3.1143,3.2456,-0.233,55,11.71,4.5
1,3.2579,2.9511,0.2955,55,11.71,4.5
1,2.8509,3.0857,0.1927,42,11.162,4.5
1,3.1634,3.0857,0.1927,42,11.162,4.5
1,2.827,2.4383,0.466,31,11.162,4.5
1,2.4978,2.547,0.0669,31,11.466,4.5
1,3.2914,2.7504,0.028,31,11.466,4.5
1,2.56,2.4431,0.551,31,11.466,4.5
1,3.6985,2.67,-0.0551,32,11.035,4.5
1,1.8058,2.67,-0.0551,32,11.035,4.5
1,2.0022,2.6148,0.0067,33,11.035,4.5
1,2.7168,2.2774,-0.6866,33,9.751,4.5
1,1.8992,1.8577,0.521,35,9.751,4.5
1,1.2121,1.0377,1.5662,35,9.751,4.5
1,-1.5508,0.1887,-0.2444,40,9.751,4.5
1,-0.5584,0.1887,-0.2444,40,10.515,4.46
1,1.2899,0.8927,-1.2818,41,10.515,4.46
1,2.2787,1.7315,-0.638,41,10.515,4.46
1,1.084,1.317,-1.0059,69,13.233,4.46
1,3.1658,1.9298,0.3392,69,13.233,4.46
1,0.3777,1.8971,1.443,98,13.233,4.46
1,1.0828,1.8971,1.443,98,31.095,4.46
1,1.2432,1.399,-0.3825,126,31.095,4.46
1,3.1035,1.2366,-0.0302,126,31.095,4.46
1,2.1291,1.6263,0.0949,177,20.975,4.46
1,2.2464,1.8067,-0.5908,177,20.975,4.46
1,1.0481,2.055,-0.5183,209,20.975,4.46
1,1.8645,1.7549,0.047,209,20.975,4.46
1,2.0548,1.7549,0.047,219,14.44,4.46
1,2.7911,2.1513,-0.8649,219,14.44,4.46
1,2.2823,2.5611,0.9269,201,14.44,4.46
1,2.7899,2.2197,0.852,201,11.817,4.46
1,0.6554,1.6681,-0.0448,147,11.817,4.46
1,1.2863,1.3667,0.3571,147,11.817,4.46
1,2.6079,1.3667,0.3571,101,10.444,4.46
1,2.1482,2.4868,-0.4127,101,10.444,4.43
1,2.4355,2.3505,0.2705,98,10.444,4.43
1,0.8613,1.7988,0.0475,98,11.933,4.43
1,1.5964,1.6793,-0.2133,63,11.933,4.43
1,2.6929,1.5039,-0.4352,63,11.933,4.43
1,1.4838,1.5039,-0.4352,42,11.933,4.43
1,3.4806,2.101,0.1666,42,11.588,4.43
1,1.23,2.7275,-0.1842,33,11.588,4.43
1,1.1762,2.4135,-0.0132,33,11.588,4.43
1,2.4642,2.2283,0.3151,32,10.331,4.43
1,3.4159,2.6204,0.0789,32,10.331,4.39
1,2.9275,2.6204,0.0789,32,10.331,4.39
1,3.0089,2.5906,0.7043,32,11.55,4.39
1,1.8789,2.5457,-0.1911,32,11.55,4.39
1,1.8741,2.416,-0.4855,32,11.55,4.39
1,2.6067,2.1627,0.4527,32,9.53,4.39
1,3.7523,1.8886,0.4164,34,9.53,4.39
1,-0.2149,1.4545,0.0869,34,9.53,4.39
1,1.7879,1.4545,0.0869,47,9.53,4.39
1,0.8063,1.9121,-0.3905,47,28.297,4.39
1,3.2711,1.9932,-0.4024,102,28.297,4.36
1,3.0748,2.6434,0.0786,102,28.297,4.36
1,2.3517,2.7139,0.2597,135,13.604,4.36
1,0.5632,2.6008,0.1952,135,13.604,4.36
1,2.59,2.6008,0.1952,167,13.604,4.36
1,2.9287,2.7207,-0.3056,167,18.206,4.36
1,3.1574,2.5522,-0.0082,181,18.206,4.36
1,3.5333,2.648,0.1622,181,18.206,4.36
1,1.8154,3.0196,-0.3971,181,20.379,4.36
1,2.0429,2.4775,-0.4974,157,20.379,4.36
1,0.3418,2.4775,-0.4974,157,20.379,4.39
1,3.0472,1.7054,0.1052,115,20.379,4.39
1,2.8593,1.9955,-0.2902,115,13.182,4.39
1,2.3457,1.9924,0.0264,65,13.182,4.39
1,1.248,2.1298,0.097,65,13.182,4.39
1,2.1111,1.9149,-0.3997,37,17.524,4.39
1,2.4391,1.9149,-0.3997,37,17.524,4.39
1,1.9076,1.9942,0.1246,28,17.524,4.39
1,2.1841,1.6992,0.2602,28,15.021,4.39
1,2.1698,2.3091,-0.186,28,15.021,4.39
1,2.6271,2.3324,-0.3589,28,15.021,4.43
1,-0.3741,1.3358,0.5203,28,12.492,4.43
1,1.594,1.3358,-0.3791,28,12.492,4.43
1,2.5959,1.763,-0.3791,28,12.492,4.43
1,1.9483,1.9751,0.0179,28,12.492,4.43
1,-0.0604,0.9933,0.1814,28,13.599,4.43
1,1.321,1.4889,-0.6178,28,13.599,4.43
1,1.254,1.2901,-0.2898,28,13.599,4.43
1,1.8657,0.4982,0.3341,28,10.199,4.43
1,0.4376,0.4982,0.3341,31,10.199,4.43
1,2.2991,1.2144,-0.1604,31,10.199,4.43
1,0.9403,1.5505,0.5013,31,11.856,4.43
