Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,-1.4455,4.0748,-1.8323,119,18.627,0
4,3.5464,2.9901,-1.9342,84,14.014,0
4,2.9275,2.2655,-0.9389,84,14.014,0
4,3.4171,2.2655,-0.3518,53,14.014,0
4,2.4283,2.9573,-0.3518,53,19.245,0
4,2.6714,3.4652,-0.2066,47,19.245,0
4,2.9132,3.1187,1.6239,47,19.245,0
4,1.491,3.2212,0.2551,47,25.734,0
4,1.892,3.3377,0.9722,47,25.734,0
4,0.9774,3.3377,0.9722,47,25.734,0
4,-0.9666,2.7345,-0.0585,45,25.734,0
4,1.8729,1.8133,1.2161,45,21.981,0
4,4.1617,2.166,-0.7502,45,21.981,0
4,3.4554,2.9739,-1.2093,45,21.981,0
4,3.6841,3.3987,0.5903,41,24.25,0
4,2.2141,3.2612,0.592,41,24.25,0
4,2.5959,3.2612,0.592,41,24.25,0
4,1.6191,3.7429,0.1304,41,30.745,0
4,1.7328,3.5999,0.338,41,30.745,0
4,1.187,2.6637,-0.0146,39,30.745,0
4,1.4707,2.2775,0.1363,39,30.745,0
4,6.1429,2.2775,0.1363,39,36.17,0
4,6.6553,2.6987,-0.2628,39,36.17,0
4,3.1239,3.5101,-0.2018,39,36.17,0
4,-0.1371,3.7011,1.016,36,34.02,0
4,1.7077,3.3602,1.016,36,34.02,0
4,2.1889,3.9631,-0.2566,36,34.02,0
4,-0.3262,4.5562,1.9803,33,27.36,0
4,-0.4112,4.5562,2.2789,33,27.36,0
4,1.5808,4.1168,2.6237,33,27.36,0
4,1.9256,4.0003,1.6799,31,29.977,0
4,1.5688,2.9721,1.6742,31,29.977,0
4,-0.3896,2.2124,1.6742,33,29.977,0
4,1.4539,2.2392,0.3373,33,19.976,0
4,-0.6853,2.5955,0.9523,36,19.976,0
4,-0.6279,2.5955,-0.4988,36,19.976,0
4,0.6267,2.3305,0.9675,39,19.976,0
4,1.4515,1.9738,0.7066,39,26.09,0
4,1.1618,2.6151,0.7066,41,26.09,0
4,2.7647,1.7006,0.4745,41,26.09,0
4,2.6223,1.3383,-0.2669,44,22.38,0
4,-1.2396,1.3383,0.3167,44,22.38,0
4,-1.2396,1.0535,0.3167,48,22.38,0
4,0.7632,1.339,0.8125,48,21.488,0
4,-1.7136,1.254,-0.6767,51,21.488,0
4,1.9974,1.9133,-0.0146,51,21.488,0
4,1.0193,2.6277,-0.3642,51,26.513,0
4,3.5309,2.6277,-0.3642,51,26.513,0
4,-0.3082,1.7507,-0.1206,53,26.513,0
4,3.307,2.1484,-0.2115,53,26.513,0
4,2.5157,2.4618,0.4834,56,35.645,0
4,3.1059,2.5562,-0.8168,56,35.645,0
4,2.0956,2.6762,0.3707,60,35.645,0
4,3.5608,2.6762,0.3707,60,25.869,0
4,1.2289,3.9062,0.7928,62,25.869,0
4,-1.0792,4.5503,0.1404,62,25.869,0
4,4.9195,3.1795,0.9572,69,26.815,0
4,5.6916,1.7208,-1.3251,69,26.815,0
4,4.1151,2.1958,-1.3649,107,26.815,0
4,-1.3222,3.8692,-1.3649,107,20.45,0
4,-3.3345,3.8692,-0.8716,61,20.45,0
4,1.4671,3.6081,2.4706,61,20.45,0
4,1.8202,3.5341,2.4465,52,20.45,0
4,1.0936,4.0216,0.5429,52,14.759,0
4,2.7504,4.5774,1.4171,74,14.759,0
4,3.6218,4.5774,1.4171,74,14.759,0
4,3.6218,4.5774,1.4171,74,14.759,0
4,1.9698,3.2954,0.6741,93,14.759,0
4,1.1714,1.9007,0.1697,93,14.092,0
4,4.3054,2.4389,0.1697,93,14.092,0
4,2.2823,2.7771,-0.6772,93,14.092,0
4,0.0341,3.2974,-1.408,54,11.26,0
4,1.4096,3.2974,0.4378,54,11.26,0
4,1.4192,3.5588,0.3685,54,11.26,0
4,8.1254,4.3699,-1.4561,56,26.463,0
4,1.0804,2.5686,-1.4561,56,26.463,0
4,4.5556,3.5476,0.8633,56,26.463,0
4,0.6997,3.6969,1.0728,56,24.097,0
4,-0.3046,3.6969,-1.2663,56,24.097,0
4,3.7188,2.6772,0.2238,57,24.097,0
4,2.6271,3.6045,0.2995,57,27.341,0
4,6.2986,3.7009,0.2995,54,27.341,0
4,2.4343,3.0314,0.2341,54,27.341,0
4,4.4287,3.458,-0.2884,55,25.144,0
4,0.5118,3.458,0.2993,55,25.144,0
4,5.2176,3.8913,0.3604,55,25.144,0
4,2.912,3.6037,0.1413,55,20.883,0
4,3.0401,2.6403,0.1413,55,20.883,0
4,2.4044,3.186,-0.1879,58,20.883,0
4,2.5828,3.1179,-0.26,58,20.883,0
4,3.4351,3.2938,-0.0503,58,19.925,0
4,0.1323,3.2938,-0.3944,59,19.925,0
4,5.4139,4.4479,0.4104,59,19.925,0
4,2.3086,3.7329,0.5015,56,20.88,0
4,3.6374,3.219,0.5015,56,20.88,0
4,5.1386,4.261,-0.3097,58,20.88,0
4,2.8282,4.261,-0.3692,58,20.88,0
4,2.8282,4.261,-0.3692,58,20.88,0
4,4.2455,3.5221,0.1448,58,21.788,0
4,4.4706,4.1105,-0.0713,58,21.788,0
4,2.4894,3.5653,0.5207,58,21.788,0
4,3.9977,3.9136,0.0381,63,20.919,0
4,4.0648,3.8793,-0.2153,63,20.919,0
4,3.495,3.8793,-0.2153,65,20.919,0
4,2.1386,3.4268,0.3486,65,20.885,0
4,2.9323,3.4697,0.7371,70,20.885,0
4,2.5193,3.5373,-0.9285,70,20.885,0
4,3.6194,3.5544,0.4759,73,18.288,0
4,4.9494,3.79,0.2235,73,18.288,0
4,3.3549,3.79,0.2235,75,18.288,0
4,2.4331,3.1312,0.5216,75,21.375,0
4,5.6102,3.4843,0.0006,83,21.375,0
4,4.5269,3.3077,1.0016,83,21.375,0
4,1.5389,3.623,-0.8493,83,21.212,0
4,0.2807,4.4752,1.9435,93,21.212,0
4,1.3713,4.3138,0.4635,93,21.212,0
4,2.2823,4.3138,0.4635,99,21.212,0
4,6.1262,4.5917,-0.0153,99,26.831,0
4,5.0931,4.7406,-0.5803,100,26.831,0
4,4.042,5.0303,0.1022,100,26.831,0
4,3.3082,4.5665,1.2694,112,17.767,0
4,3.0568,4.3814,-0.175,112,17.767,0
4,3.8517,4.3814,-0.175,124,17.767,0
4,5.384,4.3763,1.3285,124,14.095,0
4,3.8457,4.6675,0.2515,124,14.095,0
4,-0.0114,4.2758,0.7774,128,14.095,0
4,-0.0461,3.4979,0.7962,128,14.095,0
4,2.8808,3.5037,-0.295,128,14.546,0
4,5.2451,3.5037,-0.295,116,14.546,0
4,2.5493,4.1486,0.0828,116,14.546,0
4,5.2092,5.2609,0.1988,116,9.868,0
4,1.558,4.2483,0.3788,116,9.868,0
4,4.2659,3.7538,0.0615,101,9.868,0
4,2.5528,3.9174,0.6444,101,29.747,0
4,2.5445,3.9174,0.6444,91,29.747,0
4,2.9539,4.842,-0.9332,91,29.747,0
4,3.9882,4.5902,1.3677,91,20.775,0
4,3.8661,4.6247,-0.5741,81,20.775,0
4,5.3253,4.7907,0.1159,81,20.775,0
4,6.7331,4.2643,0.6252,81,25.121,0
4,5.0751,4.2643,0.6252,71,25.121,0
4,3.453,3.753,0.52,71,25.121,0
4,3.5057,4.2078,0.722,68,25.121,0
4,3.9726,4.2815,-0.8763,68,26.334,0
4,2.2931,4.0083,0.7861,76,26.334,0
4,3.1203,4.0924,-0.2596,76,26.334,0
4,3.7092,4.0251,-1.1282,70,18.969,0
4,3.5273,4.0251,-1.1282,70,18.969,0
4,1.9818,2.6875,0.0908,70,18.969,0
4,1.0972,1.6186,0.8147,59,21.048,0
4,0.9739,1.8813,-0.238,59,21.048,0
4,-0.5177,1.5387,-1.5161,57,21.048,0
4,1.995,2.9653,0.4671,57,20.199,0
4,3.0281,2.9653,0.4671,57,20.199,0
4,4.5795,3.8733,-0.8587,57,20.199,0
4,1.8286,3.0544,-0.5531,57,22.939,0
4,0.8757,0.99,-0.2018,57,22.939,0
4,1.6478,1.3633,0.3767,53,22.939,0
4,1.1067,1.7333,0.4585,53,25.551,0
4,0.1886,1.7333,0.4585,53,25.551,0
4,0.8901,1.9401,0.3781,53,25.551,0
4,2.6007,2.9117,0.2073,53,21.504,0
4,-1.1283,2.2326,-2.0752,53,21.504,0
4,-0.744,0.7212,0.7046,58,21.504,0
4,-0.9092,0.4235,0.0791,58,21.227,0
4,3.0676,0.4235,0.0791,60,21.227,0
4,1.1929,1.0609,1.0776,60,21.227,0
4,0.0641,1.7432,0.1105,60,21.227,0
4,1.6742,2.0566,-0.2832,60,16.388,0
4,1.4731,1.9834,0.0702,60,16.388,0
4,4.1498,2.826,-0.646,61,16.388,0
4,3.0856,2.826,-0.646,61,17.49,0
4,3.7392,2.4409,-0.2273,61,17.49,0
4,2.5241,2.6719,0.6732,65,17.49,0
4,2.0429,3.4584,0.0876,65,16.292,0
4,3.9427,3.8284,0.0134,65,16.292,0
4,5.3181,4.4362,1.6864,68,16.292,0
