Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,-10.8008,-6.9144,-0.2841,0,29.384,4.54
4,-8.8687,-7.4394,-0.3121,0,29.357,4.54
4,-6.4841,-7.0976,0.1871,0,38.427,4.54
4,-7.68,-7.3294,-0.1699,0,33.222,4.54
4,-5.2176,-7.0829,0.3006,0,25.826,4.54
4,-5.6653,-7.2388,-0.1643,0,23.471,4.54
4,-6.848,-7.1418,0.0589,0,24.764,4.54
4,-8.4138,-6.8666,0.2056,0,22.653,4.54
4,-5.2068,-7.4658,0.2013,0,22.341,4.54
4,-7.6908,-6.9133,-0.4387,0,24.089,4.54
4,-8.8819,-7.4981,-0.6672,0,31.079,4.54
4,-6.6265,-7.0672,0.3085,0,24.131,4.54
4,-9.0231,-7.4613,0.2739,0,27.789,4.54
4,-4.1378,-7.1174,0.5015,0,22.62,4.54
4,-5.6581,-7.0497,0.257,0,22.477,4.54
4,-5.6126,-7.4726,0.0328,0,31.708,4.54
4,-7.1305,-7.1188,0.1328,0,24.327,4.54
4,-4.6992,-7.4213,-0.2552,0,30.228,4.54
4,-8.9489,-6.7095,-0.1744,0,25.364,4.54
4,-10.2442,-7.3409,-0.138,0,27.516,4.5
4,-7.2383,-7.1016,0.0923,0,38.317,4.5
4,-8.4545,-7.4229,-0.1307,0,35.109,4.5
4,-8.3444,-7.1462,0.145,0,33.982,4.5
4,-6.8588,-7.2934,-0.179,0,32.032,4.5
4,-3.2771,-6.9917,0.3604,0,30.099,4.5
4,-4.2467,-6.7198,0.0435,0,28.125,4.5
4,-6.1537,-7.2106,-0.2142,0,32.925,4.5
4,-7.6644,-6.4481,-0.8966,0,30.635,4.5
4,-6.4458,-7.32,0.0033,0,25.475,4.5
4,-10.5075,-5.9069,-0.2566,0,45.611,4.5
4,-9.1261,-7.029,-0.3995,0,35.929,4.5
4,-6.7666,-6.8257,0.4595,0,42.609,4.5
4,-5.7371,-7.1911,0.4532,0,40.196,4.5
4,-4.9303,-6.734,0.4925,0,34.706,4.5
4,-5.1385,-6.9132,-0.122,0,32.633,4.5
4,-6.0184,-7.3555,0.0252,0,29.723,4.5
4,-9.0782,-6.4365,0.5635,0,27.994,4.5
4,-6.6301,-7.1515,-0.3141,0,27.597,4.46
4,-10.1257,-6.5803,0.0941,0,27.322,4.46
4,-8.3252,-7.365,-0.4022,0,25.744,4.46
4,-4.5627,-6.8466,-0.0426,0,33.05,4.46
4,-5.7143,-7.0321,0.0463,0,33.019,4.46
4,-3.7475,-7.0119,-0.2159,0,38.816,4.46
4,-4.6992,-6.891,0.4492,0,31.977,4.46
4,-6.672,-7.3165,-0.2892,0,39.705,4.46
4,-8.901,-6.6438,-0.6987,0,35.385,4.43
4,-7.6465,-7.3186,-0.2979,0,32.639,4.43
4,-7.1928,-7.0579,0.4181,0,36.709,4.39
4,-6.6397,-7.4007,-0.0135,0,43.213,4.39
4,-5.5755,-7.0168,0.2196,0,37.967,4.39
4,-5.111,-6.7657,0.5674,0,39.776,4.39
4,-4.9829,-7.5411,-0.4405,0,33.625,4.39
4,-9.6157,-6.7698,-0.8932,0,35.389,4.39
4,-8.0176,-7.3044,-0.2988,0,50.619,4.39
4,-7.5675,-6.8596,0.0463,0,48.01,4.39
4,-8.1026,-7.1567,0.3068,0,41.91,4.39
4,-3.5955,-7.1635,0.0325,0,37.676,4.39
4,-4.5208,-7.1026,0.2972,0,35.583,4.39
4,-6.4518,-7.232,-0.2039,0,33.103,4.39
4,-8.1205,-7.0747,-0.6158,0,33.518,4.39
4,-12.1224,-7.4977,-0.2543,0,31.444,4.39
4,-7.5878,-7.3074,0.3226,0,40.962,4.39
4,-7.4322,-7.5887,-0.3567,0,34.274,4.39
4,-7.1963,-7.0962,0.6741,0,39.767,4.39
4,-6.1309,-7.4066,0.3542,0,35.362,4.39
4,-3.8732,-7.3413,-0.0176,0,33.737,4.39
4,-4.3137,-7.1746,0.3849,0,30.544,4.39
4,-6.9893,-7.3468,-0.0446,0,40.753,4.39
4,-9.1273,-7.1062,0.2352,0,43.58,4.39
4,-7.3556,-7.4992,-0.2843,0,36.134,4.39
4,-8.8041,-6.7597,-0.4991,0,37.632,4.39
4,-11.9536,-7.644,-0.051,0,36.773,4.39
4,-9.2422,-7.3876,0.2691,0,35.1,4.39
4,-5.925,-7.5377,0.7377,0,35.49,4.39
4,-3.4422,-7.1841,0.3354,0,40.221,4.39
4,-4.5328,-7.391,0.0357,0,37.435,4.39
4,-6.1908,-7.7417,-0.1098,0,38.802,4.39
4,-8.6496,-7.0112,0.1509,0,36.027,4.36
4,-12.6659,-7.6781,-0.2268,0,27.856,4.36
4,-7.0934,-7.0587,0.419,0,34.538,4.36
4,-5.7311,-7.5642,0.2095,0,29.992,4.36
4,-4.8488,-6.9022,-0.0304,0,26.871,4.36
4,-5.8795,-7.1774,0.0937,0,31.001,4.36
4,-7.1161,-7.5565,-0.1318,0,35.299,4.36
4,-9.8815,-6.7834,-0.7894,0,31.988,4.36
4,-8.6472,-7.3445,-0.0741,0,28.785,4.36
4,-8.901,-6.6436,-0.0455,0,34.407,4.36
4,-6.3165,-7.333,0.3737,0,31.174,4.36
4,-4.5089,-6.9249,0.0612,0,30.906,4.36
4,-5.0547,-6.7216,-0.2285,0,34.511,4.36
4,-5.7131,-6.6132,0.3141,0,28.951,4.36
4,-6.7762,-5.9534,-0.2976,0,40.689,4.36
4,-13.2333,-7.1723,-0.5724,0,39.467,4.36
4,-8.4497,-6.8848,0.0618,0,30.411,4.32
4,-6.7439,-7.1715,-0.5186,0,32.347,4.32
4,-8.4689,-6.8216,0.5322,0,31.25,4.36
4,-7.2275,-7.1976,0.0481,0,31.518,4.36
4,-3.7918,-7.0816,0.352,0,27.885,4.32
4,-4.1725,-6.8471,-0.0986,0,35.876,4.32
4,-6.5571,-7.0689,0.1351,0,36.033,4.32
4,-9.3667,-6.556,-0.0066,0,31.489,4.32
4,-6.8061,-7.2499,-0.4169,0,27.231,4.32
4,-10.2753,-6.6539,-0.2197,0,27.984,4.32
4,-10.219,-7.3617,-0.5146,0,39.2,4.36
4,-8.585,-6.8567,0.1182,0,37.647,4.36
4,-11.0893,-7.1686,0.0555,0,30.582,4.32
4,-4.88,-6.8594,0.3867,0,28.471,4.32
4,-5.6306,-7.0606,0.144,0,30.4,4.36
4,-3.1334,-6.7987,0.0927,0,36.861,4.36
4,-4.5855,-6.9458,0.7151,0,36.594,4.32
